open,high,low,close,volume,vwap,timestamp,transactions,otc
499.88,500.35,499.7,499.92,189652.0,500.0243,1744215300000,2542,
499.94,500.15,499.37,500.06,132610.0,499.7156,1744215360000,1893,
500.09,500.44,499.8,499.9,103092.0,500.0448,1744215420000,1675,
499.94,500.3,499.61,499.6499,104489.0,499.9672,1744215480000,1778,
499.64,500.06,499.54,499.99,327524.0,499.7097,1744215540000,1456,
500.005,500.035,499.29,499.69,85845.0,499.5522,1744215600000,1232,
499.69,500.05,499.285,499.63,116233.0,499.6369,1744215660000,1515,
499.67,500.17,499.56,499.74,82034.0,499.8512,1744215720000,1437,
499.77,499.95,499.06,499.66,107264.0,499.4922,1744215780000,1759,
499.64,499.69,499.25,499.25,316856.0,497.1031,1744215840000,1247,
499.26,499.75,499.05,499.69,188759.0,499.2767,1744215900000,1468,
499.73,500.1769,499.55,500.05,140235.0,499.7891,1744215960000,1736,
500.13,500.55,499.87,500.12,127984.0,500.2073,1744216020000,1885,
500.14,500.5,499.4,499.44,125955.0,499.9817,1744216080000,1888,
499.42,499.59,499.08,499.26,170084.0,499.4297,1744216140000,1738,
499.19,499.5,498.65,499.35,468828.0,497.6533,1744216200000,2628,
499.37,499.65,499.11,499.35,64178.0,499.3716,1744216260000,1210,
499.29,499.69,499.2,499.665,288691.0,498.1212,1744216320000,1078,
499.64,500.17,499.53,499.69,78465.0,499.8976,1744216380000,1388,
499.6601,500.05,499.41,500.04,95461.0,499.6269,1744216440000,1237,
500.04,500.72,499.96,500.5625,435120.0,498.1078,1744216500000,2236,
500.56,500.56,499.65,499.875,203714.0,499.9422,1744216560000,2234,
499.98,500.06,499.48,499.84,115818.0,499.7122,1744216620000,1458,
499.8449,499.91,499.36,499.84,159449.0,499.6116,1744216680000,1482,
499.8803,500.32,499.82,500.1462,128349.0,500.064,1744216740000,1652,
500.1,500.23,499.34,499.5057,105263.0,499.8205,1744216800000,1548,
499.47,499.96,499.21,499.91,77702.0,499.6509,1744216860000,1272,
499.92,500.13,499.495,499.51,83239.0,499.9109,1744216920000,1436,
499.51,499.82,499.3104,499.53,176843.0,497.3895,1744216980000,1032,
499.51,499.93,499.13,499.81,222401.0,499.6324,1744217040000,2506,
499.78,500.0655,499.23,499.48,150052.0,499.6775,1744217100000,2117,
499.49,500.46,499.2,499.81,157620.0,499.8533,1744217160000,2172,
499.83,500.36,499.59,499.72,121416.0,500.0277,1744217220000,1704,
