Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year,Daily_Return,Log_Return,Price_Range,Close_to_Open_Change,Average_Price,Lagged_Close,Lagged_Volume,Volume_MA5,Volume_Ratio,Lagged_Return,Rolling_Volatility,Day_of_Week,Week_of_Year,Close_to_High_Ratio,Next_Day_Volatility
1993-03-29,25.12716630921129,25.336850589955755,25.12716630921129,25.214534759521484,87100.0,29,0,13,3,1993,0.004175786696321682,0.004167092294629193,0.2096842807444652,0.08736845031019413,25.22618388622951,25.109682083129883,101500.0,78220.0,1.1135259524418308,-0.005536412006772018,0.004526345621305493,0,13,-0.5833333333333319,0.004562361991445584
1993-03-30,25.2494821700048,25.28442955017089,25.2145347898387,25.2844295501709,56000.0,30,1,13,3,1993,0.0027720039777066052,0.0027681690599838465,0.06989476033218978,0.03494738016609844,25.26113129672683,25.214534759521484,87100.0,78380.0,0.7144679765246237,0.004175786696321682,0.004562361991445584,1,13,1.0165894158347408e-13,0.004630527887003481
1993-03-31,25.354313297720203,25.424208027693243,25.266944885253903,25.266944885253903,111600.0,31,2,13,3,1993,-0.0006915190584901865,-0.0006917582680793313,0.1572631424393407,-0.08736841246630078,25.319365932733685,25.2844295501709,56000.0,93260.0,1.1966545142612053,0.0027720039777066052,0.004630527887003481,2,13,-1.0,0.004083719178481718
1993-04-01,25.301898403022125,25.301898403022125,25.12716153559794,25.179582595825195,129500.0,1,3,13,4,1993,-0.0034575723272224357,-0.00346356354445248,0.17473686742418693,-0.12231580719693014,25.202880844815088,25.266944885253903,111600.0,97140.0,1.3331274449248507,-0.0006915190584901865,0.004083719178481718,3,13,-0.699999999999996,0.010075072829356933
1993-04-02,24.96990285234025,24.96990285234025,24.65537643432617,24.65537643432617,59400.0,2,4,13,4,1993,-0.02081869941664327,-0.021038464032892237,0.31452641801408276,-0.31452641801408276,24.760218573664194,25.179582595825195,129500.0,88720.0,0.669522091974752,-0.0034575723272224357,0.010075072829356933,4,13,-1.0,0.010231472338538664
1993-04-05,24.847576079482923,24.847576079482923,24.70778662193309,24.777681350708008,172200.0,5,0,14,4,1993,0.0049605779375390124,0.00494831480888505,0.13978945754983485,-0.06989472877491565,24.777681350708008,24.65537643432617,59400.0,105740.0,1.6285227917533573,-0.02081869941664327,0.010231472338538664,0,14,-0.4999999999999873,0.009672030141106963
1993-04-06,24.8301100022722,24.8301100022722,24.6378994392708,24.707794189453125,129700.0,6,1,14,4,1993,-0.0028205690542907336,-0.0028245543548267252,0.1922105630013995,-0.12231581281907467,24.72526787699871,24.777681350708008,172200.0,120480.0,1.076527224435591,0.0049605779375390124,0.009672030141106963,1,14,-0.6363636363636481,0.010262180947208254
1993-04-07,24.74274684914071,24.79516792297364,24.690325775307784,24.79516792297364,28000.0,7,2,14,4,1993,0.0035362822294275897,0.0035300442851865007,0.10484214766585609,0.0524210738329316,24.760220540418356,24.707794189453125,129700.0,103760.0,0.26985350809560527,-0.0028205690542907336,0.010262180947208254,2,14,0.0,0.01031601887970247
1993-04-08,24.90001485309049,24.90001485309049,24.655383128218023,24.760225296020508,180800.0,8,3,14,4,1993,-0.0014092514743873075,-0.0014102454031531368,0.2446317248724661,-0.13978955706998164,24.771874425776343,24.79516792297364,28000.0,114020.0,1.5856867216277846,0.0035362822294275897,0.01031601887970247,3,14,-0.5714285714285756,0.006683544753464567
1993-04-12,25.00483998674938,25.127155765859964,24.96989262128921,25.109682083129883,348500.0,12,0,15,4,1993,0.014113635192388285,0.01401496515471941,0.15726314457075574,0.10484209638050146,25.068910156759685,24.760225296020508,180800.0,171840.0,2.0280493482309123,-0.0014092514743873075,0.006683544753464567,0,15,-0.11111111111109354,0.0066689786555326515
1993-04-13,25.092216528786555,25.249479724301235,25.07474284039604,25.16211128234864,146100.0,13,1,15,4,1993,0.0020880072891875656,0.0020858304316373343,0.1747368839051937,0.0698947535620853,25.162111282348643,25.109682083129883,348500.0,166620.0,0.8768455167446885,0.014113635192388285,0.0066689786555326515,1,15,-0.49999999999998984,0.006375419147834537
1993-04-14,25.17958399649289,25.19705768420733,25.10968924563518,25.12716293334961,119600.0,14,2,15,4,1993,-0.0013889275270612123,-0.0013898929809661438,0.08736843857214893,-0.05242106314328154,25.14463662106404,25.16211128234864,146100.0,164600.0,0.7266099635479951,0.0020880072891875656,0.006375419147834537,2,15,-0.8000000000000163,0.006548645194320562
1993-04-15,25.10968924563518,25.17958399649289,25.022320807063032,25.12716293334961,148600.0,15,3,15,4,1993,0.0,0.0,0.15726318942985884,0.017473687714428365,25.109689245635177,25.12716293334961,119600.0,188720.0,0.7874099194573972,-0.0013889275270612123,0.006548645194320562,3,15,-0.33333333333330323,0.006356105088696407
1993-04-16,25.14463662106404,25.17958399649289,25.09221555792076,25.12716293334961,47900.0,16,4,15,4,1993,0.0,0.0,0.08736843857213117,-0.017473687714431918,25.132987495921085,25.12716293334961,148600.0,162140.0,0.29542370790674727,0.0,0.006356105088696407,4,15,-0.6000000000000325,0.0023067088752269206
1993-04-19,25.12716957710309,25.197064346441344,25.004853730761138,25.022327423095703,157000.0,19,0,16,4,1993,-0.004172198450417386,-0.004180926355198739,0.1922106156802066,-0.10484215400738606,25.074748500099393,25.12716293334961,47900.0,123840.0,1.267764857881137,0.0,0.0023067088752269206,0,16,-0.9090909090909024,0.0023128261488089947
1993-04-20,24.98736612420333,25.022313489412007,24.7427345677426,24.89999771118164,279500.0,20,1,16,4,1993,-0.004888822284419114,-0.004900811668021852,0.27957892166940823,-0.0873684130216894,24.888348589445414,25.022327423095703,157000.0,150520.0,1.8568960935423864,-0.004172198450417386,0.0023128261488089947,1,16,-0.4374999999999992,0.0023842778341604414
1993-04-21,24.95243069830905,24.95243069830905,24.81264117058744,24.88253593444824,67900.0,21,2,16,4,1993,-0.0007012762384938087,-0.0007015222476954757,0.1397895277216108,-0.0698947638608125,24.882535934448242,24.89999771118164,279500.0,140180.0,0.48437722927664434,-0.004888822284419114,0.0023842778341604414,2,16,-0.5000000000000508,0.005030026560589335
1993-04-22,24.777692705265657,24.98737698767976,24.56800842285156,24.56800842285156,97700.0,22,3,16,4,1993,-0.012640492609968912,-0.012721063325775354,0.4193685648282006,-0.20968428241409853,24.70779794446096,24.88253593444824,67900.0,130000.0,0.7515384615384615,-0.0007012762384938087,0.005030026560589335,3,16,-1.0,0.0044026014090191145
1993-04-23,24.51557679448809,24.58547152519226,24.42820838110788,24.46315574645996,106000.0,23,4,16,4,1993,-0.004267854137255611,-0.00427698742233967,0.15726314408438213,-0.052421048028129746,24.492278550920034,24.56800842285156,97700.0,141620.0,0.7484818528456433,-0.012640492609968912,0.0044026014090191145,4,16,-0.7777777777777979,0.0044673832690140785
1993-04-26,24.480638401039734,24.56800684643959,24.201059375760195,24.27095413208008,62600.0,26,0,17,4,1993,-0.007856779246794177,-0.007887806359161097,0.3669474706793956,-0.2096842689596521,24.34667345142662,24.46315574645996,106000.0,122740.0,0.5100211829884308,-0.004267854137255611,0.0044673832690140785,0,17,-0.8095238095238054,0.008857241315547626
1993-04-27,24.23599793089081,24.53305053710937,24.23599793089081,24.53305053710937,156800.0,27,1,17,4,1993,0.010798768091397903,0.010740877785015692,0.29705260621856056,0.29705260621856056,24.434033001703185,24.27095413208008,62600.0,98200.0,1.5967413441955194,-0.007856779246794177,0.008857241315547626,1,17,0.0,0.008789811480221166
1993-04-28,24.4981083757617,24.55052943505363,24.44568731646977,24.48063468933105,85900.0,28,2,17,4,1993,-0.0021365401623836267,-0.0021388258204969083,0.10484211858386061,-0.017473686430648172,24.492283813618148,24.53305053710937,156800.0,101800.0,0.843811394891945,0.010798768091397903,0.008789811480221166,2,17,-0.6666666666667118,0.007404885458283737
1993-04-29,24.533058670792244,24.585479736328125,24.39326916269656,24.585479736328125,85000.0,29,3,17,4,1993,0.004282774867874206,0.004273629888882964,0.19221057363156646,0.05242106553588144,24.521409545117603,24.48063468933105,85900.0,99260.0,0.8563368930082611,-0.0021365401623836267,0.007404885458283737,3,17,0.0,0.0069784435915230154
1993-04-30,24.67284915293253,24.76021759894149,24.62042808532715,24.62042808532715,88500.0,30,4,17,4,1993,0.0014215036425497818,0.0014204942626917605,0.13978951361434255,-0.05242106760537979,24.667024589865264,24.585479736328125,85000.0,95760.0,0.9241854636591479,0.004282774867874206,0.0069784435915230154,4,17,-1.0,0.004903918411768518
1993-05-03,24.6553655753519,24.777681350708004,24.55052348218953,24.777681350708008,80500.0,3,0,18,5,1993,0.006387105245931002,0.006366794129501715,0.22715786851847497,0.12231577535610683,24.70196206120185,24.62042808532715,88500.0,99340.0,0.8103482987718945,0.0014215036425497818,0.004903918411768518,0,18,1.5639844228031023e-14,0.0032330553345956228
