open,high,low,close,volume,vwap,timestamp,pre_market,market,after_market,date,time,time_diff,otc
566.0731,566.23,566.05,566.23,103771.0,540.9267686358482,2025-05-02 11:56:00-04:00,0,1,0,2025-05-02,11:56:00,1.0,
566.205,566.2117,566.07,566.19,33430.0,540.9279951685972,2025-05-02 11:57:00-04:00,0,1,0,2025-05-02,11:57:00,1.0,
566.18,566.36,566.16,566.33,170117.0,540.9342694255249,2025-05-02 11:58:00-04:00,0,1,0,2025-05-02,11:58:00,1.0,
566.355,566.39,566.17,566.2299,40611.0,540.935760880598,2025-05-02 11:59:00-04:00,0,1,0,2025-05-02,11:59:00,1.0,
566.23,566.39,566.2,566.21,231748.0,540.9442618600723,2025-05-02 12:00:00-04:00,0,1,0,2025-05-02,12:00:00,1.0,
566.21,567.83,566.16,566.9379,1148939.0,540.9875346932137,2025-05-02 12:01:00-04:00,0,1,0,2025-05-02,12:01:00,1.0,
566.9899,567.48,566.75,567.43,239600.0,540.9967114516611,2025-05-02 12:02:00-04:00,0,1,0,2025-05-02,12:02:00,1.0,
567.44,567.82,567.27,567.32,317872.0,541.0088256045639,2025-05-02 12:03:00-04:00,0,1,0,2025-05-02,12:03:00,1.0,
567.32,567.71,567.3,567.6099,214306.0,541.0170764682864,2025-05-02 12:04:00-04:00,0,1,0,2025-05-02,12:04:00,1.0,
567.6,567.9,567.47,567.74,451092.0,541.0345118536922,2025-05-02 12:05:00-04:00,0,1,0,2025-05-02,12:05:00,1.0,
567.75,567.94,567.66,567.72,126274.0,541.0393848068302,2025-05-02 12:06:00-04:00,0,1,0,2025-05-02,12:06:00,1.0,
567.73,567.73,567.28,567.31,228298.0,541.0480550671805,2025-05-02 12:07:00-04:00,0,1,0,2025-05-02,12:07:00,1.0,
567.3,567.41,567.121,567.41,128831.0,541.0529638830087,2025-05-02 12:08:00-04:00,0,1,0,2025-05-02,12:08:00,1.0,
567.375,567.4,566.9734,567.19,146266.0,541.0584883048145,2025-05-02 12:09:00-04:00,0,1,0,2025-05-02,12:09:00,1.0,
567.19,567.33,566.91,566.95,103991.0,541.0623785324287,2025-05-02 12:10:00-04:00,0,1,0,2025-05-02,12:10:00,1.0,
567.02,567.69,566.99,567.65,130861.0,541.067404613224,2025-05-02 12:11:00-04:00,0,1,0,2025-05-02,12:11:00,1.0,
567.63,567.9299,567.55,567.84,93472.0,541.071019153898,2025-05-02 12:12:00-04:00,0,1,0,2025-05-02,12:12:00,1.0,
567.78,567.8293,567.6294,567.726,100782.0,541.0748986850111,2025-05-02 12:13:00-04:00,0,1,0,2025-05-02,12:13:00,1.0,
567.75,567.9,567.68,567.89,67514.0,541.0775129453308,2025-05-02 12:14:00-04:00,0,1,0,2025-05-02,12:14:00,1.0,
567.88,567.9,567.57,567.7888,96988.0,541.0812534271455,2025-05-02 12:15:00-04:00,0,1,0,2025-05-02,12:15:00,1.0,
567.8,567.819,567.42,567.55,133863.0,541.0863681808877,2025-05-02 12:16:00-04:00,0,1,0,2025-05-02,12:16:00,1.0,
567.55,567.74,567.44,567.74,73465.0,541.0891945027761,2025-05-02 12:17:00-04:00,0,1,0,2025-05-02,12:17:00,1.0,
567.73,567.775,567.53,567.62,38866.0,541.0906827691315,2025-05-02 12:18:00-04:00,0,1,0,2025-05-02,12:18:00,1.0,
567.63,567.84,567.63,567.8,46462.0,541.092473754122,2025-05-02 12:19:00-04:00,0,1,0,2025-05-02,12:19:00,1.0,
567.82,567.88,567.72,567.84,83652.0,541.0957025365597,2025-05-02 12:20:00-04:00,0,1,0,2025-05-02,12:20:00,1.0,
567.8335,567.85,567.66,567.78,83522.0,541.0989182930088,2025-05-02 12:21:00-04:00,0,1,0,2025-05-02,12:21:00,1.0,
567.79,567.82,567.64,567.67,64739.0,541.1014000608164,2025-05-02 12:22:00-04:00,0,1,0,2025-05-02,12:22:00,1.0,
567.675,567.7097,567.52,567.68,91184.0,541.1048961261141,2025-05-02 12:23:00-04:00,0,1,0,2025-05-02,12:23:00,1.0,
567.6965,567.7599,567.31,567.4,127952.0,541.1097486827409,2025-05-02 12:24:00-04:00,0,1,0,2025-05-02,12:24:00,1.0,
567.38,567.73,567.34,567.71,84341.0,541.112984025539,2025-05-02 12:25:00-04:00,0,1,0,2025-05-02,12:25:00,1.0,
567.655,567.72,567.51,567.66,40200.0,541.1145229326441,2025-05-02 12:26:00-04:00,0,1,0,2025-05-02,12:26:00,1.0,
567.65,567.7,567.47,567.49,58414.0,541.1167444582825,2025-05-02 12:27:00-04:00,0,1,0,2025-05-02,12:27:00,1.0,
567.48,567.5,567.3,567.43,45825.0,541.1184829892132,2025-05-02 12:28:00-04:00,0,1,0,2025-05-02,12:28:00,1.0,
