Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-06-03,25.44167419181729,25.44167419181729,25.354305805169567,25.406726837158203,21600,3,3,22,6,1993
1993-06-04,25.336838229266917,25.336838229266917,25.214522458504938,25.319364547729492,32000,4,4,22,6,1993
1993-06-07,25.371797498243335,25.371797498243335,25.23200798034668,25.23200798034668,121400,7,0,23,6,1993
1993-06-08,25.162109758868908,25.162109758868908,25.004846572875977,25.004846572875977,104500,8,1,23,6,1993
1993-06-09,25.09221076965332,25.19705287593321,25.05726340089336,25.09221076965332,43300,9,2,23,6,1993
1993-06-10,25.074734717669713,25.127155765859964,25.022313669479466,25.109682083129883,17900,10,3,23,6,1993
1993-06-11,25.197061069459448,25.24948213964556,25.109692619149254,25.214534759521484,647400,11,4,23,6,1993
1993-06-14,25.24947734279487,25.266951029537285,25.179582595825195,25.179582595825195,64200,14,0,24,6,1993
1993-06-15,25.21453137192176,25.232005059636187,25.12716293334961,25.12716293334961,142400,15,1,24,6,1993
1993-06-16,25.12716153559794,25.179582595825195,25.057266788628265,25.179582595825195,330900,16,2,24,6,1993
1993-06-17,25.231997520267385,25.266944885253903,25.179576472787605,25.266944885253906,37400,17,3,24,6,1993
1993-06-18,25.2524584263898,25.2524584263898,25.05888557434082,25.05888557434082,58500,18,4,24,6,1993
1993-06-21,25.12924607082439,25.12924607082439,25.076453537062157,25.111648559570312,29300,21,0,25,6,1993
1993-06-22,25.146879534093607,25.146879534093607,25.094086924854782,25.129281997680664,137500,22,1,25,6,1993
1993-06-23,25.12926333262305,25.12926333262305,24.9004955291748,24.900495529174805,227600,23,2,25,6,1993
1993-06-24,24.97088895183228,25.2348518371582,24.97088895183228,25.234851837158203,243700,24,3,25,6,1993
1993-06-25,25.21725463867187,25.287644742338788,25.199657112755144,25.217254638671875,44800,25,4,25,6,1993
1993-06-28,25.34043211374224,25.49880981445313,25.305237069139817,25.498809814453125,439900,28,0,26,6,1993
1993-06-29,25.463624700263207,25.463624700263207,25.340441996115423,25.37563705444336,207500,29,1,26,6,1993
1993-06-30,25.4108321127713,25.463624700263207,25.340441996115423,25.37563705444336,437600,30,2,26,6,1993
1993-07-01,25.410825779772935,25.410825779772935,25.270045581547045,25.305240631103516,605700,1,3,26,7,1993
1993-07-02,25.217255623023828,25.234853149627472,25.076475410194664,25.16446304321289,285400,2,4,26,7,1993
1993-07-06,25.12926333262305,25.199653425991745,24.865300482490458,24.900495529174805,246400,6,1,27,7,1993
1993-07-07,24.882900512243676,25.006083188046862,24.882900512243676,24.970888137817383,343700,7,2,27,7,1993
1993-07-08,24.988486153738837,25.305241612025668,24.953291102818078,25.25244903564453,248200,8,3,27,7,1993
1993-07-09,25.252449633430654,25.322839736938477,25.19965705579979,25.322839736938477,378200,9,4,27,7,1993
1993-07-12,25.28764310632528,25.322838155881755,25.25244805676881,25.305240631103516,373700,12,0,28,7,1993
1993-07-13,25.322834662621272,25.393224752023972,25.14685943911452,25.287639617919922,389600,13,1,28,7,1993
1993-07-14,25.305246937787484,25.44602717109924,25.287649408623516,25.37563705444336,617300,14,2,28,7,1993
1993-07-15,25.35802811832481,25.35802811832481,25.21724794834105,25.27004051208496,443800,15,3,28,7,1993
1993-07-16,25.287646984920823,25.30524451239815,25.164464292579524,25.19965934753418,216400,16,4,28,7,1993
1993-07-19,25.199659676755083,25.199659676755083,25.111672038218927,25.18206214904785,188200,19,0,29,7,1993
1993-07-20,25.164461408342632,25.252449035644528,25.041278730119977,25.25244903564453,68500,20,1,29,7,1993
1993-07-21,25.217254311469805,25.2348518371582,25.146864208716227,25.234851837158203,142700,21,2,29,7,1993
1993-07-22,25.199665830376443,25.23486089438535,25.05888557434082,25.05888557434082,632400,22,3,29,7,1993
1993-07-23,25.111672038218927,25.18206214904785,25.094074510511696,25.18206214904785,286200,23,4,29,7,1993
1993-07-26,25.252449633430654,25.37563231456934,25.252449633430654,25.322839736938477,121300,26,0,30,7,1993
1993-07-27,25.34043568065999,25.358033205438225,25.217253007212335,25.305240631103516,92800,27,1,30,7,1993
